Month,Boro,CD,BC_SNAP_Recipients,BC_SNAP_Households
03/01/2021,Queens,Q10,17841,10712
03/01/2021,Queens,Q11,7868,5154
03/01/2021,Queens,Q12,47144,28382
03/01/2021,Queens,Q13,22504,14033
03/01/2021,Queens,Q14,30355,16584
03/01/2021,Staten Island,S01,38964,20751
03/01/2021,Staten Island,S02,15985,9256
03/01/2021,Staten Island,S03,11368,7085
06/01/2021,Manhattan,M01,2214,1673
06/01/2021,Manhattan,M02,3080,2509
06/01/2021,Manhattan,M03,38166,26167
06/01/2021,Manhattan,M04,13845,10457
06/01/2021,Manhattan,M05,5992,4460
06/01/2021,Manhattan,M06,5508,4705
06/01/2021,Manhattan,M07,17849,13164
06/01/2021,Manhattan,M08,6284,4902
06/01/2021,Manhattan,M09,23451,15498
06/01/2021,Manhattan,M10,32100,20847
06/01/2021,Manhattan,M11,44290,27919
06/01/2021,Manhattan,M12,48472,33217
06/01/2021,Bronx,B01,46929,25890
06/01/2021,Bronx,B02,23648,13182
06/01/2021,Bronx,B03,45183,25123
06/01/2021,Bronx,B04,58977,33266
06/01/2021,Bronx,B05,57058,31939
06/01/2021,Bronx,B06,41489,22800
06/01/2021,Bronx,B07,49393,28583
06/01/2021,Bronx,B08,19044,11462
06/01/2021,Bronx,B09,58219,32329
06/01/2021,Bronx,B10,21052,12827
06/01/2021,Bronx,B11,27054,15799
06/01/2021,Bronx,B12,42172,23355
06/01/2021,Brooklyn,K01,53124,22027
06/01/2021,Brooklyn,K02,14699,10120
06/01/2021,Brooklyn,K03,45996,25795
06/01/2021,Brooklyn,K04,25863,16595
06/01/2021,Brooklyn,K05,68216,39906
06/01/2021,Brooklyn,K06,11990,7877
06/01/2021,Brooklyn,K07,22458,13885
06/01/2021,Brooklyn,K08,21006,14027
06/01/2021,Brooklyn,K09,21943,13763
06/01/2021,Brooklyn,K10,19086,11418
06/01/2021,Brooklyn,K11,38109,22586
06/01/2021,Brooklyn,K12,63523,21127
06/01/2021,Brooklyn,K13,32430,21608
06/01/2021,Brooklyn,K14,32852,19547
06/01/2021,Brooklyn,K15,28918,18056
06/01/2021,Brooklyn,K16,39754,23090
06/01/2021,Brooklyn,K17,33645,21883
06/01/2021,Brooklyn,K18,31491,19360
06/01/2021,Queens,Q01,25628,15606
06/01/2021,Queens,Q02,12135,7642
06/01/2021,Queens,Q03,26366,15219
06/01/2021,Queens,Q04,28731,16628
06/01/2021,Queens,Q05,21046,12452
06/01/2021,Queens,Q06,11190,7612
06/01/2021,Queens,Q07,30056,19665
06/01/2021,Queens,Q08,20012,11868
06/01/2021,Queens,Q09,24995,14435
06/01/2021,Queens,Q10,18519,11138
06/01/2021,Queens,Q11,8230,5352
06/01/2021,Queens,Q12,48369,29245
06/01/2021,Queens,Q13,23310,14577
06/01/2021,Queens,Q14,30902,17035
06/01/2021,Staten Island,S01,39842,21361
06/01/2021,Staten Island,S02,16473,9545
06/01/2021,Staten Island,S03,11784,7321
09/01/2021,Manhattan,M01,2163,1619
09/01/2021,Manhattan,M02,3001,2435
09/01/2021,Manhattan,M03,37595,25623
09/01/2021,Manhattan,M04,13471,10112
09/01/2021,Manhattan,M05,5314,4038
09/01/2021,Manhattan,M06,5315,4463
09/01/2021,Manhattan,M07,17466,12899
09/01/2021,Manhattan,M08,6254,4869
09/01/2021,Manhattan,M09,22836,15030
09/01/2021,Manhattan,M10,31501,20336
09/01/2021,Manhattan,M11,43557,27261
09/01/2021,Manhattan,M12,47635,32561
09/01/2021,Bronx,B01,45886,25219
09/01/2021,Bronx,B02,22894,12777
09/01/2021,Bronx,B03,43820,24360
09/01/2021,Bronx,B04,57144,32414
09/01/2021,Bronx,B05,55572,31063
